260717 15:48:55.959| *** ump_ims_scscf logging system started ***
260717 15:48:55.961| dbg| AppCfg     |            | AppId: Type: SCSCF, Id: 1
260717 15:48:55.963| dbg| Initer     |            | Init AppStat ...
260717 15:48:55.963| dbg| Initer     |            | Init AppStat OK
260717 15:48:55.963| dbg| Initer     |            | Init AlarmMng ...
260717 15:48:55.964| dbg| Initer     |            | Init AlarmMng OK
260717 15:48:55.964| dbg| Initer     |            | Init AppCfg ...
260717 15:48:55.964| ERR| AlarmClrCon|            | Connect failed: Connection refused
260717 15:48:55.964| dbg| AppCfg     |            | Reading node-config file: /etc/ump/node-config.json
260717 15:48:55.965| dbg| AppCfg     |            | Reading config file: /etc/ump/app-config.json
260717 15:48:55.966| dbg| CfgJsonRdr |            | Reading of list node failed: Json key: node is missing
260717 15:48:55.967| inf| CfgJsonRdr |            | AppConfig._logParams.0 = LogParams: Level: DBG, PasswordSize: 0, FileEnabled: 1, SyslogEnabled: 0, Limits: FileCnt: 10, LineCnt: 10000, AppType: <Unknown>, AppId: <Unknown>
260717 15:48:55.967| inf| CfgJsonRdr |            | AppConfig._nodeData = Nodeid: 8888, NodeNumber: 1, HsbEnabled: 0, LocalIpcIPAddr: <Invalid>, RemoteIpcIPAddr: <Invalid>
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._hsses.1._hssId = 1
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._hsses.1._s6aLocalHostAndRealm = Host: hss.iskratechno, Realm: iskratechno
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._hsses.1._s6aLocalIP = 192.168.11.134
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._hsses.1._cxLocalHostAndRealm = Host: hss.iskratechno, Realm: iskratechno
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._hsses.1._cxLocalIP = 192.168.11.135
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._imsNetwork._homeDomain = 
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._scscfs.1._id = 1
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._scscfs.1._sipHostname = scscf.sip
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._scscfs.1._cxLocalHostAndRealm = Host: scscf.iskratechno, Realm: iskratechno
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._scscfs.1._cxLocalIP = 192.168.11.134
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._scscfSipInterfaces.1._localIP = 192.168.11.134
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._scscfSipInterfaces.1._localUdpPort = 5060
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._scscfSipInterfaces.1._localTcpPort = <Unknown>
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._scscfSipIPWhitelist.1.0 = 192.168.11.0/24
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._scscfDiameterDnsResolvers.1 = Id: 1, LocalAddr: 192.168.11.134:5003, DnsServers: sz: 1 : 192.168.11.134, TtlOverride: <Unknown>
260717 15:48:55.968| inf| CfgJsonRdr |            | AppConfig._scscfSipDnsResolvers.1 = Id: 1, LocalAddr: 192.168.11.134:5002, DnsServers: sz: 1 : 192.168.11.134, TtlOverride: <Unknown>
260717 15:48:55.968| dbg| Initer     |            | Init AppCfg OK
260717 15:48:55.968| dbg| Initer     |            | Init LogApplier ...
260717 15:48:55.969| dbg| LogApplier |            | Applying <Unknown>  logger params
260717 15:48:55.969| dbg| Initer     |            | Init LogApplier OK
260717 15:48:55.969| dbg| Initer     |            | Init PidFile ...
260717 15:48:55.969| dbg| Initer     |            | Init PidFile OK
260717 15:48:55.969| dbg| Initer     |            | Init SCSCF ...
260717 15:48:55.969| dbg| SipIface   |            | Start
260717 15:48:55.969| dbg| SipIfaceThr|            | Apply new params: LocalIP: 192.168.11.134, LocalUdpPort: 5060, LocalTcpPort: <Unknown>
260717 15:48:55.969| dbg| SipIfaceThr|            | UDP parameters changed
260717 15:48:55.969| dbg| SipIfaceThr|            | TCP parameters changed
260717 15:48:55.969| dbg| SipIfaceThr|            | Set DNS resolver params: Id: 1, LocalAddr: 192.168.11.134:5002, DnsServers: sz: 1 : 192.168.11.134, TtlOverride: <Unknown>
260717 15:48:55.970| dbg| SctpTrans  | 1          | Created
260717 15:48:55.970| dbg| SctpTrans  | Diameter 1 | Applying new ip whitelist
260717 15:48:55.970| dbg| StarterConn|            | Start connect to: 127.0.0.1:11533
260717 15:48:55.970| dbg| DnsResolver| 1          | Created
260717 15:48:55.971| dbg| DnsResolver| 1          | Set servers: {192.168.11.134}
